"NOM_DE_L'EMPLACEMENT","PROVINCE_OU_TERRITOIRE","GROUPE_D'ÉLÉMENTS","ÉLÉMENT_DES_NORMALES","janv.","févr.","mars","avr.","mai","juin","juil.","août","sept.","oct.","nov.","déc.","année","code"
"NORMAN WELLS","NT","Vent","Vitesse horaire moyenne du vent (km/h)","7,4","7,9","9,5","10,7","11,2","10,9","9,9","9,6","9,6","9,1","7,4","6,9","9,2","A"
"NORMAN WELLS","NT","Vent","Direction dominante du vent","SE","SE","O","SE","SE","SE","O","SE","SE","NO","NO","SE","SE","A"
"NORMAN WELLS","NT","Vent","Jours avec vitesse du vent >= 52 km/h","0,39","0,26","0,33","0,24","0,08","0,21","0,13","0,27","0,0","0,18","0,22","0,30","2,6","C"
"NORMAN WELLS","NT","Vent","Jours avec vitesse du vent >= 63 km/h","0,17","0,13","0,04","0,04","0,04","0,0","0,04","0,0","0,0","0,0","0,0","0,09","0,55","C"
"NORMAN WELLS","NT","Vent","Jours avec vitesse des rafales de vent >= 90 km/h","0,0","0,12","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,05","0,17","C"
"NORMAN WELLS","NT","Vent","Vitesse extrême du vent (km/h)","80,0","74,0","66,0","68,0","59,0","65,0","61,0","80,0","70,0","63,0","67,0","72,0","",""
"NORMAN WELLS","NT","Vent","Vitesse extrême du vent (km/h) (aaaa/mm/jj hh:mi)","1962/01/22 21:00","1986/02/19 02:00","1971/03/07 02:00","1965/04/12 18:00","1980/05/03 13:00","1979/06/11 18:00","1959/07/25 15:00","1962/08/31 01:00","1988/09/06 09:00","1978/10/31 15:00","1977/11/21 08:00","1963/12/12 07:00",""," "
"NORMAN WELLS","NT","Vent","Direction de la vitesse extrême du vent","O","NO","SE","O","NO","NO","NO","O","NO","NO","NO","E","",""
"NORMAN WELLS","NT","Vent","Direction de la vitesse extrême du vent (aaaa/mm/jj hh:mi)","1962/01/22 21:00","1986/02/19 02:00","1971/03/07 02:00","1965/04/12 18:00","1980/05/03 13:00","1979/06/11 18:00","1959/07/25 15:00","1962/08/31 01:00","1988/09/06 09:00","1978/10/31 15:00","1977/11/21 08:00","1963/12/12 07:00",""," "
"NORMAN WELLS","NT","Vent","Vitesse extrême des rafales de vent (km/h)","113,0","113,0","114,0","97,0","85,0","83,0","100,0","117,0","94,0","93,0","101,0","105,0","",""
"NORMAN WELLS","NT","Vent","Vitesse extrême des rafales de vent (km/h) (aaaa/mm/jj)","1962/01/22","2011/02/26","1965/03/10","1965/04/12","1979/05/02","1979/06/11","1967/07/24","1962/08/31","1988/09/07","1990/10/27","1962/11/03","1963/12/12",""," "
"NORMAN WELLS","NT","Vent","Direction des rafales de vent extrême","O","NO","NO","O","SE","NO","O","O","NO","E","E","E","",""
"NORMAN WELLS","NT","Vent","Direction des rafales de vent extrême (aaaa/mm/jj)","1962/01/22","2011/02/26","1965/03/10","1965/04/12","1979/05/02","1979/06/11","1967/07/24","1962/08/31","1988/09/07","1990/10/27","1962/11/03","1963/12/12",""," "
"NORMAN WELLS","NT","Degrés-jours","Degrés-jours Au-dessus de 24 °C","0,0","0,0","0,0","0,0","0,0","0,3","0,7","0,0","0,0","0,0","0,0","0,0","1,0","A"
"NORMAN WELLS","NT","Degrés-jours","Degrés-jours Au-dessus de 18 °C","0,0","0,0","0,0","0,0","0,7","16,2","27,9","9,7","0,0","0,0","0,0","0,0","54,5","A"
"NORMAN WELLS","NT","Degrés-jours","Degrés-jours Au-dessus de 15 °C","0,0","0,0","0,0","0,0","4,4","48,2","80,2","34,0","0,7","0,0","0,0","0,0","167,5","A"
"NORMAN WELLS","NT","Degrés-jours","Degrés-jours Au-dessus de 10 °C","0,0","0,0","0,0","0,2","30,1","154,9","214,5","127,7","16,5","0,1","0,0","0,0","543,9","A"
"NORMAN WELLS","NT","Degrés-jours","Degrés-jours Au-dessus de 5 °C","0,0","0,0","0,0","4,8","101,0","297,8","368,3","268,9","83,2","1,9","0,0","0,0","1125,9","A"
"NORMAN WELLS","NT","Degrés-jours","Degrés-jours Au-dessus de 0 °C","0,2","0,0","0,1","29,0","221,5","447,6","523,3","423,3","205,1","19,2","0,2","0,2","1869,6","A"
"NORMAN WELLS","NT","Degrés-jours","Degrés-jours Au-dessous de 0 °C","789,6","643,4","579,8","188,4","11,1","0,0","0,0","0,0","4,7","149,5","526,3","732,9","3625,7","A"
"NORMAN WELLS","NT","Degrés-jours","Degrés-jours Au-dessous de 5 °C","944,4","784,5","734,7","314,1","45,6","0,3","0,0","0,6","32,8","287,2","676,2","887,8","4708,0","A"
